name,ra,dec,alias
Sh2-163,23.555443,+60.785718,
Sh2-164,23.640435,+59.970465,
Sh2-165,23.663631,+61.937473,
Sh2-166,23.702898,+60.971334,
Sh2-167,23.589574,+64.852994,
Sh2-168,23.884393,+60.473028,
Sh2-169,23.89966,+60.373114,
Sh2-170,0.028437,+64.62349,
Sh2-171,0.077847,+67.156747,
Sh2-172,0.259145,+61.255896,
Sh2-173,0.364413,+61.738168,
Sh2-174,23.780345,+80.938914,
Sh2-175,0.455335,+64.70359,
Sh2-176,0.527574,+57.285697,
Sh2-177,0.525853,+62.469072,
Sh2-178,22.315609,+87.761645,
Sh2-179,0.673719,+62.865998,
Sh2-180,0.812968,+62.929031,
Sh2-181,0.821295,+65.212144,
Sh2-182,0.837962,+64.744986,
Sh2-183,0.899944,+65.709763,
Sh2-184,0.880767,+56.610288,NGC281
Sh2-185,1.000002,+60.989673,
Sh2-186,1.147528,+63.134068,
Sh2-187,1.385491,+61.856642,
Sh2-188,1.510929,+58.366754,
Sh2-189,2.202373,+64.171694,
Sh2-190,2.55643,+61.442323,
Sh2-191,2.610923,+59.637357,
Sh2-192,2.787271,+61.987958,
Sh2-193,2.792371,+62.004143,
Sh2-194,2.788865,+61.937803,
Sh2-195,2.668345,+59.648829,
Sh2-196,2.855334,+62.231473,
Sh2-197,2.698727,+59.646041,
Sh2-198,2.833838,+59.69999,
Sh2-199,2.909323,+60.409384,
Sh2-200,3.179185,+62.815492,
Sh2-201,3.052879,+60.478346,
Sh2-202,3.314314,+59.633998,
Sh2-203,3.36695,+54.877791,
Sh2-204,3.929346,+57.428939,
Sh2-205,3.9356,+53.194396,
Sh2-206,4.05363,+51.329532,
Sh2-207,4.334711,+53.143661,
Sh2-208,4.329415,+52.977669,
Sh2-209,4.184168,+51.16295,
Sh2-210,4.516413,+52.552915,
Sh2-211,4.616054,+50.939358,
Sh2-212,4.677155,+50.381019,
Sh2-213,4.345267,+44.924885,
Sh2-214,4.359694,+44.372951,
Sh2-215,4.292486,+42.614947,
Sh2-216,4.749174,+46.820853,
Sh2-217,4.979864,+48.005699,
Sh2-218,5.687935,+52.188418,
Sh2-219,4.935559,+47.395155,
Sh2-220,4.010657,+36.617253,NGC1499
Sh2-221,5.02778,+46.348835,
Sh2-222,4.502734,+35.270062,
Sh2-223,5.286637,+42.211844,
Sh2-224,5.454477,+42.971193,
Sh2-225,5.450104,+40.621629,
Sh2-226,5.185227,+37.992616,
Sh2-227,5.331465,+38.955185,
Sh2-228,5.226422,+37.453393,
Sh2-229,5.27194,+34.463373,IC405
Sh2-230,5.375101,+34.131931,
Sh2-231,5.655434,+35.92496,
Sh2-232,5.707412,+36.200776,
Sh2-233,5.645297,+35.793087,
Sh2-234,5.468826,+34.435151,
Sh2-235,5.68372,+35.854188,
Sh2-236,5.376063,+33.365076,
Sh2-237,5.523735,+34.277226,
Sh2-238,4.363883,+19.537716,NGC1555
Sh2-239,4.521498,+18.116695,
Sh2-240,5.683424,+28.10373,
Sh2-241,6.068695,+30.247791,
Sh2-242,5.86427,+27.010714,
Sh2-243,5.656254,+23.290728,
Sh2-244,5.575202,+21.952391,M1/Sh2-244
Sh2-245,4.042624,+4.128587,
Sh2-246,5.035997,+14.095701,
Sh2-247,6.141761,+21.619972,
Sh2-248,6.27741,+22.500263,IC443
Sh2-249,6.349509,+23.089809,
Sh2-250,4.669811,+7.36284,
Sh2-251,4.547174,+5.862737,
Sh2-252,6.160927,+20.500452,
Sh2-253,6.428866,+20.02812,
Sh2-254,6.205805,+18.043784,
Sh2-255,6.219089,+17.97518,
Sh2-256,6.210733,+17.943061,
Sh2-257,6.214089,+17.975908,
Sh2-258,6.225718,+17.924211,
