name,ra,dec
LdN-835,19.889752,+34.681163
LdN-836,19.889738,+34.714495
LdN-837,20.398772,+30.779222
LdN-838,20.400442,+30.77932
LdN-839,19.998486,+34.138086
LdN-840,19.904584,+35.132121
LdN-841,20.182522,+33.149545
LdN-842,20.333219,+31.992003
LdN-843,20.344931,+31.926034
LdN-844,20.507331,+30.668904
LdN-845,20.083538,+34.360098
LdN-846,20.701503,+29.179906
LdN-847,20.031461,+35.140178
LdN-848,20.088343,+34.860404
LdN-849,20.076552,+35.109671
LdN-850,20.198824,+34.150556
LdN-851,20.505309,+31.668796
LdN-852,20.098244,+35.144358
LdN-853,20.114905,+35.228726
LdN-854,19.964145,+36.385939
LdN-855,19.975833,+36.386681
LdN-856,20.13663,+35.180073
LdN-857,20.031037,+36.140164
LdN-858,20.185147,+34.949726
LdN-859,20.523439,+32.336518
LdN-860,20.081161,+36.059972
LdN-861,20.007389,+36.772018
LdN-862,20.114165,+36.978702
LdN-863,20.129135,+37.112967
LdN-864,20.700501,+32.179876
LdN-865,20.070399,+37.775989
LdN-866,20.118824,+37.779005
LdN-867,19.998164,+38.721459
LdN-868,20.784,+32.184472
LdN-869,19.996144,+39.471342
LdN-870,20.615918,+35.175161
LdN-871,20.096191,+39.810959
LdN-872,20.029067,+40.473432
LdN-873,20.682728,+35.178914
LdN-874,20.699431,+35.179844
LdN-875,20.129515,+39.979694
LdN-876,20.154607,+39.897912
LdN-877,20.238123,+39.903026
LdN-878,20.145895,+40.664051
LdN-879,20.346962,+39.326241
LdN-880,20.229578,+40.31918
LdN-881,20.296623,+39.823232
LdN-882,20.321755,+39.658071
LdN-883,20.330107,+39.658571
LdN-884,20.09539,+41.477597
LdN-885,20.154014,+41.147893
LdN-886,20.313252,+39.990897
LdN-887,20.061479,+42.475496
LdN-888,20.312947,+40.657556
LdN-889,20.413411,+40.163522
LdN-890,20.061264,+42.892157
LdN-891,20.228783,+41.985819
LdN-892,20.262276,+41.821186
LdN-893,20.211951,+42.234796
LdN-894,20.262236,+41.904516
LdN-895,20.261867,+42.654505
LdN-896,20.697666,+39.679792
LdN-897,20.412487,+42.163494
LdN-898,20.697596,+39.846458
LdN-899,20.395538,+42.662501
LdN-900,20.412207,+42.746817
LdN-901,20.358447,+43.326979
LdN-902,20.361789,+43.327178
LdN-903,20.143643,+45.063981
LdN-904,20.881686,+39.189798
LdN-905,20.160214,+45.315007
LdN-906,20.61302,+42.175075
LdN-907,20.753921,+41.016244
LdN-908,20.327417,+45.158487
LdN-909,20.327417,+45.158487
LdN-910,20.327328,+45.325152
LdN-911,20.679529,+42.92882
LdN-912,21.132564,+38.702731
LdN-913,20.404212,+45.329719
LdN-914,20.86395,+41.688878
LdN-915,20.756343,+43.099737
LdN-916,20.96445,+41.194178
LdN-917,20.670596,+44.145003
LdN-918,20.682323,+44.095658
LdN-919,20.544647,+45.287885
LdN-920,20.544621,+45.337888
LdN-921,20.553015,+45.271698
LdN-922,20.645302,+44.593593
LdN-923,20.57814,+45.173134
LdN-925,20.561339,+45.338845
LdN-926,20.589766,+45.323799
LdN-927,21.06479,+41.099343
LdN-928,20.683753,+44.595744
LdN-929,20.594775,+45.34075
LdN-930,20.614834,+45.341886
LdN-931,20.796118,+43.851915
LdN-932,21.09792,+41.867691
LdN-933,20.87956,+44.189738
LdN-934,21.11788,+42.118695
LdN-935,20.946592,+43.859941
LdN-936,20.862371,+45.188833
LdN-937,21.164562,+42.454351
LdN-938,21.14774,+42.703521
LdN-939,20.518,+48.169731
LdN-940,20.895623,+45.59061
