ra,dec,ra1,dec1
178.4595,53.6861,165.459,56.3676
165.459,56.3676,165.9345,61.7477
178.4595,53.6861,176.511,47.7675
176.511,47.7675,169.5435,31.5184
176.511,47.7675,167.418,44.4844
167.418,44.4844,154.275,42.8974
167.418,44.4844,155.5815,41.4821
165.9345,61.7477,142.884,63.0483
142.884,63.0483,127.569,60.7163
165.459,56.3676,148.023,54.0528
148.023,54.0528,147.7425,59.0318
148.023,54.0528,143.211,51.6693
143.211,51.6693,134.8005,48.0311
134.8005,48.0311,135.906,47.1487
135.906,47.1487,143.211,51.6693
37.953,89.2496,263.0505,86.5854
263.0505,86.5854,251.4945,82.0361
251.4945,82.0361,236.019,77.7848
236.019,77.7848,222.675,74.1522
222.675,74.1522,230.1855,71.8317
230.1855,71.8317,244.3725,75.7508
244.3725,75.7508,236.019,77.7848
161.694,-49.4176,159.3225,-48.2144
159.3225,-48.2144,153.684,-42.1181
153.684,-42.1181,142.6725,-40.468
142.6725,-40.468,136.9995,-43.4187
136.9995,-43.4187,131.0985,-42.6338
131.0985,-42.6338,129.408,-42.9833
129.408,-42.9833,122.3835,-47.332
122.3835,-47.332,131.1675,-54.7003
131.1675,-54.7003,140.523,-54.9982
140.523,-54.9982,149.2155,-54.5685
149.2155,-54.5685,161.694,-49.4176
181.3005,8.7147,176.466,6.5145
176.466,6.5145,177.6735,1.7475
177.6735,1.7475,184.974,-0.6646
184.974,-0.6646,190.4175,-1.4324
190.4175,-1.4324,193.9005,3.3862
193.9005,3.3862,195.5385,10.9492
193.9005,3.3862,203.6745,-0.5844
203.6745,-0.5844,201.297,-11.1498
201.297,-11.1498,197.481,-5.5348
197.481,-5.5348,190.4175,-1.4324
203.6745,-0.5844,210.408,1.5355
210.408,1.5355,221.5575,1.885
201.297,-11.1498,213.2265,-10.2674
213.2265,-10.2674,213.999,-5.9989
213.999,-5.9989,220.767,-5.6494
135.6075,-66.3829,126.435,-66.1308
126.435,-66.1308,121.977,-68.6174
121.977,-68.6174,109.206,-67.9528
109.206,-67.9528,107.178,-70.4853
107.178,-70.4853,115.4505,-72.5995
115.4505,-72.5995,121.977,-68.6174
298.368,24.0642,292.1745,24.6486
292.1745,24.6486,289.0515,21.3828
284.049,4.1998,275.3235,-2.882
275.3235,-2.882,265.3485,-12.8686
265.3485,-12.8686,264.3915,-15.3839
264.3915,-15.3839,260.2095,-12.8343
