ra,dec,ra1,dec1
332.7105,58.2011,333.759,57.0322
333.759,57.0322,337.2945,58.4016
40.8225,3.2315,45.567,4.0852
45.567,4.0852,44.925,8.898
44.925,8.898,41.2365,10.1012
41.2365,10.1012,37.041,8.4511
37.041,8.4511,38.967,5.5806
38.967,5.5806,40.8225,3.2315
40.8225,3.2315,39.867,0.3151
39.867,0.3151,34.836,-2.9679
34.836,-2.9679,27.8685,-10.3362
27.8685,-10.3362,20.9985,-8.1818
20.9985,-8.1818,17.1435,-10.1643
17.1435,-10.1643,26.007,-15.934
26.007,-15.934,27.8685,-10.3362
26.007,-15.934,30,-21.0677
30,-21.0677,41.0235,-13.8484
17.1435,-10.1643,10.8915,-17.9851
10.8915,-17.9851,4.8585,-8.8178
124.635,-76.9139,158.8635,-78.5984
158.8635,-78.5984,184.584,-79.2974
184.584,-79.2974,161.442,-80.5349
161.442,-80.5349,125.157,-77.4811
125.157,-77.4811,124.635,-76.9139
230.8395,-59.3183,220.623,-64.9677
220.623,-64.9677,229.3725,-58.8027
82.7985,-35.4661,84.906,-34.0681
84.906,-34.0681,87.7425,-35.764
87.7425,-35.764,89.382,-35.2827
89.382,-35.2827,94.131,-35.1338
94.131,-35.1338,95.523,-33.4321
87.7425,-35.764,89.7825,-42.7999
197.493,17.5153,197.9685,27.8687
197.9685,27.8687,186.732,28.264
284.6745,-37.099,286.599,-37.0475
286.599,-37.0475,287.367,-37.9012
287.367,-37.9012,287.5095,-39.3336
287.5095,-39.3336,287.0805,-40.4852
287.0805,-40.4852,285.774,-42.0838
285.774,-42.0838,284.067,-42.7025
284.067,-42.7025,282.393,-43.4359
233.2335,31.3523,231.9555,29.1005
231.9555,29.1005,233.67,26.6998
233.67,26.6998,235.686,26.2816
235.686,26.2816,237.399,26.0639
237.399,26.0639,239.3925,26.866
239.3925,26.866,240.3555,29.8511
182.097,-24.7174,182.5275,-22.6146
182.5275,-22.6146,183.948,-17.5325
183.948,-17.5325,187.4655,-16.5012
187.4655,-16.5012,188.589,-23.3824
188.589,-23.3824,182.5275,-22.6146
178.998,-17.1486,176.19,-18.3518
176.19,-18.3518,171.2175,-17.6815
171.2175,-17.6815,169.836,-14.7651
169.836,-14.7651,171.1485,-10.8518
171.1485,-10.8518,174.168,-9.7976
171.2175,-17.6815,167.9115,-22.8152
167.9115,-22.8152,164.943,-18.2831
164.943,-18.2831,169.836,-14.7651
186.6525,-63.0827,187.7925,-57.101
191.9235,-59.685,183.7815,-58.7339
289.275,53.3653,292.4265,51.7152
292.4265,51.7152,294.111,50.214
294.111,50.214,296.2425,45.1147
296.2425,45.1147,305.559,40.2503
305.559,40.2503,311.5515,33.9649
311.5515,33.9649,318.2325,30.2178
318.2325,30.2178,326.0355,28.7338
318.2325,30.2178,319.476,34.8817
319.476,34.8817,318.69,38.0329
318.69,38.0329,319.35,39.3851
319.35,39.3851,323.4915,45.5845
323.4915,45.5845,326.7,49.2973
310.3605,45.2694,305.559,40.2503
305.559,40.2503,299.073,35.0822
299.073,35.0822,297.6405,32.8992
297.6405,32.8992,292.6725,27.9489
308.3025,11.2987,309.3855,14.5818
309.3855,14.5818,310.8645,15.0688
310.8645,15.0688,311.661,16.1173
311.661,16.1173,309.9075,15.8996
309.9075,15.8996,309.3855,14.5818
64.011,-51.486,68.5035,-55.0326
68.5035,-55.0326,76.3755,-57.4677
76.3755,-57.4677,83.4105,-62.481
83.4105,-62.481,86.19,-65.7354
83.4105,-62.481,88.527,-63.0827
263.0385,55.1816,262.6095,52.2996
262.6095,52.2996,269.1525,51.486
269.1525,51.486,268.3845,56.8661
268.3845,56.8661,263.0385,55.1816
268.3845,56.8661,288.135,67.6491
288.135,67.6491,297.0435,70.2675
297.0435,70.2675,275.2605,72.7141
275.2605,72.7141,257.19,65.7011
257.19,65.7011,245.994,61.5013
245.994,61.5013,240.465,58.5506
240.465,58.5506,231.234,58.9516
231.234,58.9516,211.089,64.3661
211.089,64.3661,188.3655,69.7805
188.3655,69.7805,172.8495,69.3164
318.6165,9.9981,320.724,6.801
320.724,6.801,318.948,5.2311
318.948,5.2311,317.5845,10.1184
77.28,-8.7491,76.959,-5.0821
76.959,-5.0821,73.224,-5.4488
73.224,-5.4488,71.373,-3.2487
71.373,-3.2487,69.0765,-3.3518
69.0765,-3.3518,62.9685,-6.8354
62.9685,-6.8354,59.508,-13.4989
59.508,-13.4989,56.5335,-12.1009
56.5335,-12.1009,55.806,-9.7517
55.806,-9.7517,53.2335,-9.4481
53.2335,-9.4481,44.106,-8.8808
44.106,-8.8808,41.2755,-18.5638
41.2755,-18.5638,42.7485,-20.9989
42.7485,-20.9989,45.6015,-23.6173
45.6015,-23.6173,49.8765,-21.7495
49.8765,-21.7495,53.4405,-21.6177
53.4405,-21.6177,56.706,-23.2334
56.706,-23.2334,59.9775,-24.0012
59.9775,-24.0012,68.3775,-29.7652
68.3775,-29.7652,68.8815,-30.5501
68.8815,-30.5501,66.0105,-34.0165
66.0105,-34.0165,64.4745,-33.7816
64.4745,-33.7816,57.3585,-36.1995
57.3585,-36.1995,57.153,-37.6147
57.153,-37.6147,49.9845,-43.0692
49.9845,-43.0692,44.565,-40.3019
44.565,-40.3019,40.164,-39.8492
40.164,-39.8492,39.9525,-42.8859
39.9525,-42.8859,36.744,-47.6987
36.744,-47.6987,34.125,-51.4974
34.125,-51.4974,28.986,-51.6006
28.986,-51.6006,24.4245,-57.2328
48.0135,-28.9859,42.267,-32.4008
42.267,-32.4008,31.1175,-29.2839
93.7185,22.5001,95.7405,22.5001
95.7405,22.5001,100.9845,25.1185
100.9845,25.1185,107.7855,30.235
107.7855,30.235,112.2765,31.782
112.2765,31.782,113.652,31.8851
113.652,31.8851,115.824,28.8828
115.824,28.8828,116.328,28.0176
116.328,28.0176,116.1105,24.3851
116.1105,24.3851,110.025,21.9672
110.025,21.9672,106.026,20.5692
106.026,20.5692,99.426,16.3809
99.426,16.3809,97.242,20.2025
97.242,20.2025,95.7405,22.5001
99.426,16.3809,100.989,13.2181
110.025,21.9672,109.527,16.5356
328.482,-37.3511,331.5255,-39.5341
331.5255,-39.5341,333.903,-41.3332
333.903,-41.3332,337.317,-43.4818
337.317,-43.4818,340.6695,-46.8851
340.6695,-46.8851,342.1365,-51.3141
342.1365,-51.3141,345.219,-52.7522
332.058,-46.9482,340.6695,-46.8851
